SLPS_256.29 99299439ed	Ace Combat Zero - The Belkan War
SLPS_256.51 91219c3195	dot Hack G.U. Vol.1 - Saitan
SLPS_256.55 91219c31b5	dot Hack G.U. Vol.2 - Kimi Omou Koe
SLPS_256.56 91219c31cd	dot Hack - G.U. Vol.3 - Aruku Youna Hayasa de
SLPS_257.15 81318c2185	Tales of Destiny
SLPS_290.03 cc79c4690d	Lord of the Rings - The Two Towers [Collector's Box]
SLPS_290.04 cc79c46935	Lord of the Rings, The - The Two Towers
SCES_500.03 60b9a1e84d	Dead or Alive 2 - Hardcore
SCES_500.05 60b9a1e87d	Wipeout Fusion
SLES_500.18 68b149e1cd	Kessen
SLES_500.19 68b149e1c5	Kessen
SLES_500.20 68b149e1fd	Kessen
SLES_500.46 68b149e12d	F1 Racing Championship
SLES_500.47 68b149e125	F1 Racing Championship
SLES_500.73 508971d92d	Driving Emotion Type-S
SLES_501.20 409961c9b5	Rumble Racing
SLES_501.34 409961c945	Oni
SLES_501.58 489169c18d	Gungriffon Blaze
SLES_501.59 489169c185	Gungriffon Blaze
SLES_501.60 489169c17d	Gungriffon Blaze
SLES_501.76 b169913905	Oni
SLES_501.77 b16991390d	Oni
SLES_501.78 b169913915	Oni
SLES_501.79 b16991391d	Oni
SLES_503.25 9149b1198d	Max Payne
SLES_503.26 9149b11995	Max Payne
SLES_503.30 9149b119f5	Grand Theft Auto III - DISC 1
SLES_503.58 9941b9119d	Devil May Cry
SLES_503.83 8159a1094d	Metal Gear Solid 2 - Sons of Liberty
SCES_504.08 895149007d	PaRappa the Rapper 2
SCES_504.10 895149006d	Ace Combat - Distant Thunder
SLES_504.46 f129d17935	Shadow Man 2 - The Second Coming
SLES_504.57 f129d1798d	Rayman M
SCES_504.59 f12931789d	Dropship - United Peace Force
SLES_504.77 f921d97125	WWF Smackdown! - Just Bring It
SCES_504.90 f92139709d	Final Fantasy X
SLES_505.53 e931c96195	Project Eden
SLES_506.08 d901f951ed	Shadow Man 2 - The Second Coming
SLES_506.72 c911e941fd	Baldur's Gate - Dark Alliance
SCES_507.60 21f9e1a8d5	Ico
SLES_507.93 29f109a1d5	Grand Theft Auto III
SLES_508.50 19c13991bd	ATV Off-Road 2
SCES_508.78 19c1d9905d	Tekken 4
SCES_509.16 9d1c9809d	Ratchet & Clank
SLES_509.19 9d1298185	Akira Psycho Ball
SCES_509.34 9d1c9800d	World Rally Championship II Extreme
SLES_509.88 79a159f1ad	Lord of the Rings, The - The Fellowship of the Ring (Der Herr der Ringe - Die Gefahrten)
SLES_509.92 79a159f14d	Hitman 2 - Silent Assassin
SLES_510.44 69b149e1fd	Burnout 2 - Point of Impact
